id,author,title,original_title,series,series_order,status,date_started,date_finished,date_unknown,rating,format,genre,location,publication_year,notes
891,Alyssa Cole,When no one is watching,When no one is watching,,,Pendiente,,,,0,Físico,Suspenso,Físico/Varios,2020,
16,Amanda Quick,Un pasado sombrío,Slightly shady,Amantes y sabuesos,1,Pendiente,,,,0,,,,2004,
17,Amanda Quick,No mires atrás,Don’t look back ,Amantes y sabuesos,2,Pendiente,,,,0,,,,2003,
18,Amanda Quick,Amantes y sabuesos,Late for the wedding,Amantes y sabuesos,3,Pendiente,,,,0,,,,2004,
19,Amanda Quick,Jardines de Cristal,Crystal gardens,Damas de Latern Street,1,Leído,,,TRUE,4,ePub,Histórico Inglaterra,iPhone/Books,2015,
20,Amanda Quick,Una mujer misteriosa ,The mystery woman ,Damas de Latern Street,2,Leído, ,,TRUE,4,ePub,Histórico Inglaterra,iPhone/Books,2015,
21,Amanda Quick,Compromiso de conveniencia,Otherwise engaged ,Damas de Latern Street,3,Leído,,,TRUE,4,Físico,Histórico Inglaterra,,2016,
22,Amanda Quick,Amor a segunda vista,Second sight,Sociedad Arcana,1,Pendiente,,,,0,,,,2006,
23,Amanda Quick,La sombra de la mentira ,White lies,Sociedad Arcana,2,Pendiente,,,,0,,,,2007,
24,Amanda Quick,Sizzle and burn,Sizzle and burn,Sociedad Arcana,3,Pendiente,,,,0,,,,2008,
25,Amanda Quick,El tercer círculo,The third circle,Sociedad Arcana,4,Pendiente,,,,0,,,,2008,
26,Amanda Quick,Running hot,Running hot,Sociedad Arcana,5,Pendiente,,,,0,,,,2009,
27,Amanda Quick,El veneno perfecto,The perfect poison,Sociedad Arcana,6,Leído,,,TRUE,5,Físico,Histórico Inglaterra,Físico/Varios,2009,Fav 
28,Amanda Quick,Fired up,Fired up,Sociedad Arcana,7,Pendiente,,,,0,,,,2009,
29,Amanda Quick,Burning lamp,Burning lamp,Sociedad Arcana,8,Pendiente,,,,0,,,,2010,
30,Amanda Quick,Midnight crystal,Midnight crystal,Sociedad Arcana,9,Pendiente,,,,0,,,,2010,
858,Amanda Quick,The Scargill cove case files,The Scargill cove case files,Sociedad Arcana,10,Pendiente,,,,0,,,,2011,
834,Amanda Quick,In too deep,In too deep,Sociedad Arcana,11,Pendiente,,,,0,,,,2010,
835,Amanda Quick,Quicksilver,Quicksilver,Sociedad Arcana,12,Pendiente,,,,0,,,,2011,
836,Amanda Quick,Canyons of night,Canyons of night,Sociedad Arcana,13,Pendiente,,,,0,,,,2011,
31,Amanda Quick,Los anillos de Afrodita,With this ring,Vanza,1,Pendiente,,,,0,,,,1998,
32,Amanda Quick,No debo amarte ,I thee wed,Vanza,2,Pendiente,,,,0,,,,1999,
33,Amanda Quick,Secretos,Wicked widow,Vanza,3,Pendiente,,,,0,,,,2000,
34,Amanda Quick,Bajo la luna,Lie by moonlight,Vanza,4,Pendiente,,,,0,,,,2005,
35,Amanda Quick,Al llegar la media noche ,Wait until midnight,,,Leído,,,TRUE,4,ePub,Histórico Inglaterra,iPhone/Books,2016,
36,Amanda Quick,Hasta que la muerte nos separe,Til death do us part,,,Leído,,,TRUE,4,ePub,Histórico Inglaterra,iPhone/Books,2017,
37,Amigos ingleses,Born to speak British ,Born to speak British ,,,Pendiente,,,,0,,Idiomas,,2022,
38,Ana Álvarez,Sin derecho a roce ,Sin derecho a roce ,,,Pendiente,,,,0,ePub,,iPhone/Books,2019,
39,Ana Álvarez,La serpiente peluda ,La serpiente peluda ,,,Pendiente,,,,0,ePub,,iPhone/Books,2015,
40,Ana Álvarez,¿Sólo amigos?,¿Sólo amigos?,,,Pendiente,,,,0,ePub,,iPhone/Books,2015,
41,Ana Cantabero,Miss zapatos de lujo ,Miss zapatos de lujo ,,,Pendiente,,,,0,,,,2016,
42,Ana E. Guevara,En los ojos del HighlanderKinross,En los ojos del Highlander,,,Leído,,,TRUE,4,ePub,Escocés histórico,iPhone/Books,2019,
840,Ana F. Malory,Un pretendiente para la señorita Bowler,Un pretendiente para la señorita Bowler,Minstrel Valley,7,Pendiente,,,,0,,,,2019,
43,Ana F. Malory,A un beso del pasado,A un beso al pasado,,,Leído,,,TRUE,4,ePub,Escocés moderno,iPhone/Books,2014,
44,Anabella Franco,Camino al placer,Camino al placer,,,Leído,,,TRUE,3,ePub,Romance,iPhone/Books,2016,
45,Andie Brock,Dulce venganza griega,Sweet greek revenge,,,Leído,,,TRUE,3,ePub,Romance,iPhone/Books,2018,
46,Andy Weir,El marciano,The martian,,,Leído,,,TRUE,5,Físico,Ciencia ficción,No disponible,2011,
47,Anna García,Confina-dos,Confina-dos,,,Leído,,,TRUE,2,ePub,Romance,iPhone/Books,2020,
48,Anna Premoli,"Por favor, déjame odiarte",Ti prego lasciati odiare,,,Leído,,,TRUE,2,ePub,Romance,iPhone/Books,2016,
49,Anna Todd,After,After,After,1,Pendiente,,,,0,ePub,,iPhone/Books,2013,
50,Anne Frank,El diario de Ana Frank,Het Achterhuis,,,Pendiente,,,,0,ePub,,iPhone/Books,1947,
51,Anne Kelleher,Érase un amor futuro ,A once and future love,,,Leído,,,TRUE,3,ePub,Romance,iPhone/Books,2008,
52,Anne Rice,Hacia el Edén,Tender rebel,,,Leído,,,TRUE,3,ePub,Romance,iPhone/Books,2012,
53,Anne Stuart,El vals del diablo,The devil’s waltz,,,Leído,,,TRUE,3,ePub,Romance,iPhone/Books,2007,
54,Armando Prieto Pérez,Todas las veces que quieras,Todas las veces que quieras,,,Pendiente,,,,0,ePub,,iPhone/Books,2017,
896,Arturo Pérez-Reverte,La piel del tambor,La piel del tambor,,,Pendiente,,,,0,Físico,,Físico/Varios,1995,
55,Arwen Grey,El amor llegó como un rayo,El amor llegó como un rayo,,,Leído,,,TRUE,3,ePub,Romance,iPhone/Books,2015,
56,Arwen Grey,Nuestra luz,Nuestra luz,,,Leído,,,TRUE,3,ePub,Romance,iPhone/Books,2020,
892,Ashley Rice,Solo para chicas,Girls rule,,,Pendiente,,,,0,Físico,,Físico/Varios,,
897,Aurelio Ángel Baldor,Geometría y trigonometría,Geometría y trigonometría,,,Pendiente,,,,0,Físico,Matemáticas,Físico/Varios,1983,
898,Aurelio Ángel Baldor,Álgebra,Álgebra,,,Pendiente,,,,0,Físico,Matemáticas,Físico/Varios,1941,
57,Becca Devereux,Querido plan B,Querido plan B,,,Pendiente,,,,0,ePub,,iPhone/Books,2018,
845,Begoña Gambín,Las indiscreciones de lady Margaret,Las indiscreciones de lady Margaret,Minstrel Valley,12,Pendiente,,,,0,,,,2020,
58,Bela Marbel,Espirales en el ombligo,Espirales en el ombligo,Segundas oportunidades,3,Leído,,,TRUE,3,ePub,Romance,iPhone/Books,2015,
857,Bela Marbel,El gigante rubio,El gigante rubio,Segundas oportunidades,3.5,Leído,,,TRUE,3,ePub,Romance,iPhone/Books,2019,
59,Beth O’Leary,En tus zapatos,The switch ,,,Pendiente,,,,0,ePub,,iPhone/Books,2020,
926,Bethany Bells,Si me lo pide el corazón,Si me lo pide el corazón,Minstrel Valley,1,Leído,May 2022,May 2022,FALSE,3,ePub,,iPhone/Books,2019,
848,Bethany Bells,Todo lo que oculto de mí,Todo lo que oculto de mí,Minstrel Valley,15,Pendiente,,,,0,,,,2020,
60,Blythe Gifford,El truhán y la doncella,The knave and the maiden,,,Leído,15 Jul 2022,22 Jul 2022,FALSE,3,Físico,Histórico Inglaterra,Físico/Varios,2012,
859,Brenda Jackson,Dos mundos diferentes,Delaney’s Desert Sheikh,Westmoreland,1,Leído,,,TRUE,4,ePub,Romance,No disponible,2002,
860,Brenda Jackson,Un hombre en su vida ,A Little Dare,Westmoreland,2,Pendiente,,,,0,,,,2003,
861,Brenda Jackson,Heridos de amor,Thorn’s Challenge,Westmoreland,3,Pendiente,,,,0,,,,2003,
862,Brenda Jackson,Fría rendición,Stone Cold Surrender,Westmoreland,4,Pendiente,,,,0,,,,2006,
863,Brenda Jackson,Tormenta de pasión,Riding the Storm ,Westmoreland,5,Pendiente,,,,0,,,,2006,
864,Brenda Jackson,Cuestión de interés,The Chase is on ,Westmoreland,6,Pendiente,,,,0,,,,2005,
865,Brenda Jackson,Secretos de familia,The Durango affair,Westmoreland,7,Pendiente,,,,0,,,,2006,
866,Brenda Jackson,Un asunto de honor,Ian’d ultimate gamble,Westmoreland,8,Pendiente,,,,0,,,,2006,
867,Brenda Jackson,La apuesta más atrevida,"Seduction, Westmoreland style",Westmoreland,9,Pendiente,,,,0,,,,2007,
868,Brenda Jackson,Un estilo muy personal,Spencer’s Forbidden Passion,Westmoreland,10,Pendiente,,,,0,,,,2007,
869,Brenda Jackson,Vino y pasión,Taming Clint Westmoreland,Westmoreland,11,Pendiente,,,,0,,,,2008,
870,Brenda Jackson,Un hombre indomable,Cale’s red-hot pursuit,Westmoreland,12,Pendiente,,,,0,,,,2008,
871,Brenda Jackson,Ardiente y salvaje ,Quade’s babies,Westmoreland,13,Pendiente,,,,0,,,,2008,
872,Brenda Jackson,Directo al corazon,"Tall, dark… Westmoreland!",Westmoreland,14,Pendiente,,,,0,,,,2009,
873,Brenda Jackson,El fuego de la pasión,Westmoreland’s way ,Westmoreland,15,Leído,,,TRUE,4,ePub,Romance,iPhone/Books,2009,
874,Brenda Jackson,Irresistible,Seduced by a stranger,Westmoreland,16,Leído,,,TRUE,4,ePub,Romance,iPhone/Books,2016,
875,Brenda Jackson,Noches ardientes,Hot Westmoreland nights ,Westmoreland,17,Pendiente,,,,0,ePub,,iPhone/Books,2010,
876,Brenda Jackson,El objeto de su deseo ,What a Westmoreland wants,Westmoreland,18,Pendiente,,,,0,ePub,,iPhone/Books,2010,
877,Brenda Jackson,La noche de su vida ,A wife for a Westmoreland,Westmoreland,19,Pendiente,,,,0,ePub,,iPhone/Books,2011,
878,Brenda Jackson,La propuesta,The proposal,Westmoreland,20,Pendiente,,,,0,ePub,,iPhone/Books,2011,
879,Brenda Jackson,Calor intenso ,Feeling the heat,Westmoreland,21,Pendiente,,,,0,ePub,,iPhone/Books,2012,
880,Brenda Jackson,Pasión desatada ,Texas wild,Westmoreland,22,Pendiente,,,,0,,,,2012,
881,Brenda Jackson,Una noche de invierno,One Winter’s Night ,Westmoreland,23,Pendiente,,,,0,ePub,,iPhone/Books,2012,
882,Brenda Jackson,Íntima seducción ,Zane ,Westmoreland,24,Pendiente,,,,0,,,,2013,
883,Brenda Jackson,Ardiente atracción,Canyon,Westmoreland,25,Pendiente,,,,0,,,,2013,
884,Brenda Jackson,Un plan imperfecto,Stern ,Westmoreland,26,Pendiente,,,,0,,,,2013,
885,Brenda Jackson,Un auténtico hombre ,The real thing ,Westmoreland,27,Pendiente,,,,0,,,,2014,
886,Brenda Jackson,Romance secreto ,The secret affair,Westmoreland,28,Pendiente,,,,0,,,,2014,
887,Brenda Jackson,Rompiendo todas las normas,Breaking Bailey’s Rules,Westmoreland,29,Pendiente,,,,0,,,,2015,
888,Brenda Jackson,Esposa olvidada,Bane ,Westmoreland,30,Pendiente,,,,0,,,,2015,
846,Brenna Watson,Un duque para la señorita Chatman,Un duque para la señorita Chatman,Minstrel Valley,13,Pendiente,,,,0,,,,,
61,Brenna Watson,Viento de otoño ,Viento de otoño ,,,Pendiente,,,,0,ePub,,iPhone/Books,2019,
63,C. S. Lewis,El sobrino del mago ,The magician’s nephew,Las crónicas de Narnia,1,Leído,,,TRUE,5,Físico,Fantasía/Magia,Físico/Varios,1955,
64,C. S. Lewis,"El león, la bruja y el ropero ","The lion, the witch and the wardrobe",Las crónicas de Narnia,2,Leído,,,TRUE,5,Físico,Fantasía/Magia,Físico/Varios,1950,
65,C. S. Lewis,El caballo y el muchacho ,The horse and his boy ,Las crónicas de Narnia,3,Leído,,,TRUE,4,Físico,Fantasía/Magia,Físico/Varios,1954,
66,C. S. Lewis,El príncipe Caspian ,Prince Caspian: The return to Narnia,Las crónicas de Narnia,4,Leído,,,TRUE,4,Físico,Fantasía/Magia,Físico/Varios,1951,
67,C. S. Lewis,Las travesías del viajero del Alba ,The voyage of the Dawn Treader,Las crónicas de Narnia,5,Leído,,,TRUE,4,Físico,Fantasía/Magia,Físico/Varios,1952,
68,C. S. Lewis,La silla de plata ,The silver chair ,Las crónicas de Narnia,6,Leído,,,TRUE,4,Físico,Fantasía/Magia,Físico/Varios,1953,
69,C. S. Lewis,La última batalla,The last battle ,Las crónicas de Narnia,7,Leído,,,TRUE,4,Físico,Fantasía/Magia,Físico/Varios,1956,Final trágico de la serie
70,Caitlin Crews,Novia por real decreto,Bride by royal decree,,,Leído,,,TRUE,3,ePub,Romance,iPhone/Books,2017,
894,Calderón de la Barca ,La vida es sueño,La vida es sueño,,,Pendiente,,,,0,Físico,,Físico/Varios,1635,
71,Carla Crespo,Piluca y el síndrome de Willy Fog,Piluca y el síndrome de Willy Fog,,,Leído, ,,TRUE,3,ePub,Romance,iPhone/Books,2020,
72,Carla Kelly,Una novia y un secreto,The Admiral's Penniless Bride,,,Leído,2 Aug 2017,2 Sep 2017,FALSE,4,ePub,Romance,iPhone/Books,2012,
906,Carlos Cuauhtemoc Sanchez,Sangre de campeón ,Sangre de campeón ,,,Pendiente,,,,0,Físico,Autoconocimiento,Físico/Varios,2001,
73,Carlos Fisas,Palabras que tienen historia,Palabras que tienen historia,,,Pendiente,,,,0,ePub,,iPhone/Books,1992,
74,Carolina Lozano,Taibhse,Taibhse,,,Pendiente,,,,0,ePub,Suspenso,iPhone/Books,2010,
900,Casio,Song Book,Song Book,,,Pendiente,,,,0,Físico,Música,Físico/Música, 2000,
90,Cassandra Clare,La cadena de oro,Chain of gold,Las últimas horas,1,Pendiente,,,,0,,,,2021,
91,Cassandra Clare,La cadena de hierro,Chain of iron,Las últimas horas,2,Pendiente,,,,0,,,,2022,
92,Cassandra Clare,La cadena de espinas,Chain of thorns,Las últimas horas,3,Pendiente,,,,0,,,,2023,
78,Cassandra Clare,Ciudad de hueso ,City of bones,Los instrumentos mortales ,1,Leído,,,TRUE,4,ePub,Fantasía/Magia,iPhone/Books,2009,
79,Cassandra Clare,Ciudad de ceniza ,City of ashes,Los instrumentos mortales ,2,Leído,,,TRUE,3,ePub,Fantasía/Magia,iPhone/Books,2009,
80,Cassandra Clare,Ciudad de cristal,City of glass,Los instrumentos mortales ,3,Leído,,,TRUE,3,ePub,Fantasía/Magia,iPhone/Books,2010,
81,Cassandra Clare,Ciudad de los ángeles caídos,City of fallen angels,Los instrumentos mortales ,4,Leído,,,TRUE,3,ePub,Fantasía/Magia,iPhone/Books,2011,
82,Cassandra Clare,Ciudad de las almas perdidas,City of lost souls,Los instrumentos mortales ,5,Pendiente,,,,0,Físico,Fantasía/Magia,Físico/Varios,2012,
83,Cassandra Clare,Ciudad de fuego celestial,City of heavenly fire,Los instrumentos mortales ,6,Pendiente,,,,0,,Fantasía/Magia,,2014,
75,Cassandra Clare,Ángel mecánico,Clockwork angel,Los orígenes ,1,Leído,,,TRUE,5,ePub,Fantasía/Magia,iPhone/Books,2010,
76,Cassandra Clare,Príncipe mecánico,Clockwork prince,Los orígenes ,2,Leído,,,TRUE,5,ePub,Fantasía/Magia,iPhone/Books,2012,
77,Cassandra Clare,Princesa mecánica ,Clockwork princess,Los orígenes ,3,Leído,,,TRUE,5,ePub,Fantasía/Magia,iPhone/Books,2013,
84,Cassandra Clare,Manuscritos rojos de la magia,The red scrolls of magic,Maldiciones ancestrales,1,Pendiente,,,,0,,,,2019,
85,Cassandra Clare,El libro de lo blanco perdido,The lost book of the white,Maldiciones ancestrales,2,Pendiente,,,,0,,,,2020,
86,Cassandra Clare,El libro negro de los muertos,Black volume of the dead,Maldiciones ancestrales,3,Pendiente,,,,0,,,,,
87,Cassandra Clare,Lady midnight,Lady midnight,Renacimiento,1,Pendiente,,,,0,,,,2016,
88,Cassandra Clare,El señor de las sombras,Lord of shadows,Renacimiento,2,Pendiente,,,,0,,,,2017,
89,Cassandra Clare,La reina del aire y la oscuridad,Queen of the air and darkness ,Renacimiento,3,Pendiente,,,,0,,,,2018,
93,Cassandra Clare,Las crónicas de Bane,The Bane chronicles,,,Pendiente,,,,0,,,,2014,
94,Cassandra Clare,Cuentos de la academia de cazadores de sombras,Tales from the shadowhunter academy,,,Pendiente,,,,0,,,,2016,
95,Cassandra Clare,Fantasmas del mercado de sombras,Ghost of the shadow market,,,Pendiente,,,,0,,,,2019,
96,Cassandra Clare,The shadowhunter's codex,The shadowhunter's codex,,,Pendiente,,,,0,,,,2013,
97,Cathryn de Bough,Tentar al diablo ,Tentar al diablo ,,,Leído,,,TRUE,3,ePub,Romance,No disponible,2015,
98,César García Muñoz,La chica de un solo ojo ,La chica de un solo ojo ,,,Pendiente,,,,0,ePub,,iPhone/Books,2019,
833,Charlene Sands,El regreso de Alex,The Texas renegade returns,Cattleman’s club,10,Leído,,,TRUE,4,ePub,Romance,iPhone/Books,2014,
99,Charles Dickens ,A christmas carol ,A christmas carol ,,,Pendiente,,,,0,ePub,,iPhone/Books,1869,
889,Charles Dickens ,Oliver Twist ,Oliver Twist ,,,Pendiente,,,,0,ePub,,iPhone/Books,1934,
890,Charles Dickens ,Great expectations ,Great expectations ,,,Pendiente,,,,0,ePub,,iPhone/Books,1861,
100,Charlotte Brontë,Jane Eyre,Jane Eyre,,,Pendiente,,,,0,ePub,,iPhone/Books,1847,
927,Charlotte Byrd,La fiesta prohibida ,Black Edge,Black Edge,1,Pendiente,,,,0,ePub,,iPhone/Books,2019,
62,Charlotte Grey,Lady Jane,Lady Jane ,,,Pendiente,,,,0,,,,2021,
101,Chitra Banerjee,La joven de las adelfas,Oleander girl ,,,Pendiente,,,,0,ePub,,iPhone/Books,2015,
102,Chris de Wit,Tenía que ser yo,Tenía que ser yo,,,Leído,,,TRUE,4,ePub,Romance,iPhone/Books,2018,
103,Christie Kelley,Bewitching  the duke,Bewitching  the duke,,,Pendiente,,,,0,ePub,,iPhone/Books,2012,
105,Christina Courtenay,Tormentas en las tierras altas ,Highland storms,Kinross,2,Leído,,,TRUE,3,ePub,Escocés histórico,iPhone/Books,2014,
104,Christina Courtenay,Vientos alisios,Trade winds,Kinross,1,Pendiente,,,,0,,,,2010,
106,Christina Courtenay,Nieblas monzónicas,Moonsoon mists,Kinross,3,Pendiente,,,,0,,,,2014,
107,Christina Courtenay,El beso secreto de la oscuridad,The secret kiss of darkness,,,Pendiente,,,,0,ePub,,iPhone/Books,2014,
108,Christina Dodd,Cielo y tierra ,Move heaven and earth,,,Leído,,,TRUE,3,ePub,Histórico Inglaterra,iPhone/Books,2012,
837,Christine Cross,La tentación de un beso ,La tentación de un beso ,Minstrel Valley,4,Pendiente,,,,0,,,,2019,
851,Christine Cross,Una pasión inadecuada ,Una pasión inadecuada ,Minstrel Valley,18,Pendiente,,,,0,,,,2020,
856,Christine Cross,Donde mi corazón tiene su hogar ,Donde mi corazón tiene su hogar ,Minstrel Valley,23,Pendiente,,,,0,,,,2022,
109,Christine Merrill,Un soplo de aire fresco ,Miss Winthorpe’s elopement,Belston & friends,1,Leído,,,TRUE,4,ePub,Histórico Inglaterra,iPhone/Books,2007,
110,Christine Merrill,"Dangerous lord, innocent governess","Dangerous lord, innocent governess",Belston & friends,2,Pendiente,,,,0,,,,2009,
928,Christine Merrill,Innocent in the regency ballroom,Innocent in the regency ballroom,Belston & friends,3,Pendiente,,,,0,,,,2009,
111,Christine Merrill,La verdad sobre Lady Felkirk,The truth about Lady Felkirk,Las hermanas de Bryun,1,Leído,,,TRUE,4,ePub,Histórico Inglaterra,iPhone/Books,2014,
112,Christine Merrill,Un anillo para una dama,A ring from a Marquess ,Las hermanas de Bryun,2,Leído,,,TRUE,4,ePub,Histórico Inglaterra,iPhone/Books,2015,
113,Christine Merrill,Delicioso engaño ,The Folbroke’s delicious deception,Mujeres en desgracia,1,Leído,18 Jun 2017,21 Jul 2017,FALSE,4,ePub,Histórico Inglaterra,iPhone/Books,2011,
114,Christine Merrill,Camino a la perdición ,Lady Drusilla’s road to ruin,Mujeres en desgracia,2,Leído,October 2017,October 2017,FALSE,4,ePub,Histórico Inglaterra,iPhone/Books,2011,
115,Christine Merrill,Corazón rebelde ,Lady Priscilla’s shameful secret,Mujeres en desgracia,3,Leído,21 Jul 2017,2 Aug 2017,FALSE,4,ePub,Histórico Inglaterra,iPhone/Books,2012,
116,Christine Merrill,The inconvenient duchess,The inconvenient duchess,Radwells,1,Pendiente,,,,0,,,,2006,
117,Christine Merrill,Una propuesta impropia,An unladylike offer,Radwells,2,Pendiente,,,,0,,,,2007,
118,Christine Merrill,Una relación peligrosa,A wicked liaison,Radwells,3,Pendiente,,,,0,,,,2008,
119,Christine Merrill,Seducing a stranger,Seducing a stranger,Radwells,4,Pendiente,,,,0,,,,2009,
907,Christine Merrill,The greatest of sins ,The greatest of sins ,The sinner and the saint,1,Pendiente,,,,0,,,,2013,
908,Christine Merrill,The fall of a saint ,The fall of a saint ,The sinner and the saint,2,Pendiente,,,,0,,,,2014,
909,Christine Merrill,Regency Christmas wishes ,Regency Christmas wishes ,Those scandalous Stricklands,0.5,Pendiente,,,,0,,,,2017,
910,Christine Merrill,A kiss away from scandal,A kiss away from scandal,Those scandalous Stricklands,1,Pendiente,,,,0,,,,2018,
911,Christine Merrill,How not to marry an earl,How not to marry an earl,Those scandalous Stricklands,2,Pendiente,,,,0,,,,2018,
912,Christine Merrill,Lady Margaret’s mystery gentleman,Lady Margaret’s mystery gentleman,Secrets of the Duke’s Family ,1,Pendiente,,,,0,,,,2021,
913,Christine Merrill,Lady Olivia’s forbidden protector,Lady Olivia’s forbidden protector,Secrets of the Duke’s Family ,2,Pendiente,,,,0,,,,2021,
916,Christine Merrill,Lady Rachel’s Dangerous duke,Lady Rachel’s Dangerous duke,Secrets of the Duke’s Family ,3,Pendiente,,,,0,,,,2022,
914,Christine Merrill,Awakening his shy duchess ,Awakening his shy duchess ,The irresistible dukes,1,Pendiente,,,,0,,,,2023,
915,Christine Merrill,A Duke for the penniless widow,A Duke for the penniless widow,The irresistible dukes,2,Pendiente,,,,0,,,,2024,
917,Christine Merrill,To wed a devilish duke,To wed a devilish duke,Wicked dukes,1,Pendiente,,,,0,,,,2025,
918,Christine Merrill,To redeem a rakish duke,To redeem a rakish duke,Wicked dukes,2,Pendiente,,,,0,,,,2026,
120,Christine Merrill,Dos errores y un acierto ,"Two Wrongs, One right",,,Leído,,,TRUE,4,ePub,Histórico Inglaterra,iPhone/Books,2013,
121,Claudia Velasco,La princesa del millón de dólares ,La princesa del millón de dólares ,,,Leído,,,TRUE,5,,Histórico Inglaterra,,2018,
122,Colin Hann,La vida de albahaca,Das Leben von Basilikum,,,Pendiente,,,,0,ePub,Idiomas,iPhone/Books,2015,
123,Corín Tellado,Por eso me casé contigo,Por eso me casé contigo,Historia de una venganza ,1,Leído,,,TRUE,2,ePub,Romance,iPhone/Books,1966,
124,Corín Tellado,El fantasma de sí mismo,El fantasma de sí mismo,Historia de una venganza ,2,Leído,,,TRUE,2,ePub,Romance,iPhone/Books,2017,
125,Courtney Milán,Un regalo envenenado ,This wicked gift,El corazón de la navidad,3,Leído,,,TRUE,3,ePub,Histórico Inglaterra,iPhone/Books,2011,Parte de libro con Nicola Cornick y Mary Balogh
901,Cristian Caballero,Introducción a la música,Introducción a la música,,,Pendiente,,,,0,Físico,Música,Físico/Varios,1999,
126,Cynthia Wright,Silver storm,Silver storm,Rakes and rebels: The Raveneau family,1,Pendiente,,,,0,ePub,Histórico Inglaterra,iPhone/Books,1979,
127,Cynthia Wright,Rescued by a rogue,Rescued by a rogue,Rakes and rebels: The Beauvisage family,2,Pendiente,,,,0,ePub,Histórico Inglaterra,iPhone/Books,1977,
128,Daniel Welsch,Aprende más inglés Vol. 2 ,Aprende más inglés Vol. 2 ,,,Pendiente,,,,0,ePub,Idiomas,iPhone/Books,2015,
129,Daniela Sacerdoti,Cuida de mi,Watch over me ,Glen Avich,1,Leído,,,TRUE,3,ePub,Romance,iPhone/Books,2011,
130,Daniela Sacerdoti,Llévame a casa,Take me home ,Glen Avich,2,Pendiente,,,,0,,,,2013,
131,Daniela Sacerdoti,Libérame,Set me free ,Glen Avich,3,Pendiente,,,,0,,,,2014,
132,Daniela Sacerdoti,Don’t be afraid,Don’t be afraid,Glen Avich,4,Pendiente,,,,0,,,,2015,
133,Danielle Steel,Juego de citas ,Dating game,,,Leído,,,TRUE,4,ePub,Romance,iPhone/Books,1999,
134,Danielle Steel,Una buena mujer,A good woman,,,Leído,,,TRUE,3,ePub,Romance,iPhone/Books,2008,
135,Danielle Steel,La amante ,The mistress,,,Pendiente,,,,0,ePub,,iPhone/Books,2017,
136,Dante Alighieri,La divina comedia ,Divina commedia ,,,Pendiente,,,,0,ePub,,iPhone/Books,1320,
137,Darlis Stefany,H de Harry,H de Harry,BG5,1,Leído,,,TRUE,5,Físico,Romance,No disponible,2014,
